* Textfile zur Anzeige von Klartexten zu den entsprechenden
* RPS-Fehlermeldungen.
8101 "Ptr Fehler beim Entfernen eines B&R-Moduls"
8111 "Ptr Fehler beim Entfernen einer Systemtask"
8112 "Systemtask ist vor dem Entfernen nicht gestoppt worden"
8115 "Ptr Fehler beim Entfernen einer Usertask"
8116 "Usertask ist vor dem Entfernen nicht gestoppt worden"
8120 "Es gibt noch eine aktive Referenz auf den AVT-Modul beim Entfernen (linkcnt != 0)"
8121 "Ptr Fehler beim Entfernen eines AVT-Library-Moduls"

/***************************/
/* RPS-Task-Update-Fehler  */
/***************************/

8130 "RPS-Task-Update: Update in das Flash nicht mîglich"
8131 "RPS-Task-Update: Update in das FIXRAM nicht mîglich"
8132 "RPS-Task-Update: Unterschiedliche IO-Definition"
8133 "RPS-Task-Update: Unterschiedliche IO-Definition"
8134 "RPS-Task-Update: Unterschiedliche Datentypen"
8135 "RPS-Task-Update: Unterschiedliche IO-Anzahl"
8136 "RPS-Task-Update: Unterschiedliche Taskklasse"
8137 "RPS-Task-Update: Unterschiedliche Reihenfolgenummer / Exceptionnummer"
8138 "RPS-Task-Update: Unterschiedliche PP Anzahl"
8139 "RPS-Task-Update: Unterschiedliche Systembusmodul Anzahl (PP)"
8140 "RPS-Task-Update: Unterschiedliche AVT-Anzahl (AVT-FUB)"
8141 "RPS-Task-Update: Unterschiedlicher AVT-Eintrag (AVT-FUB)"
8142 "RPS-Task-Update: Unterschiedliche lokale Variable"
8143 "RPS-Task-Update: Unterschiedliche globale Variable"
8144 "RPS-Task-Update: Update-Funktion nicht vorhanden (UPDATE.BR)"
8145 "RPS-Task-Update: Kein PV-Eintrag vorhanden"

/***************************/
/* Exit-Routine-Fehler     */
/***************************/

8150 "ID in keiner Tabelle"
8151 "USER-Task EXIT aufgerufen"

/***************************/
/* IOTimer-Fehler          */
/***************************/

8160 "Es gibt keine freien IO-Timer"
8161 "Der Åbergebene IO-Timerwert ist falsch"
8162 "Der IO-Timer Verteiler ist nicht bekannt"
8169 "IO-Timer werden auf dieser HW nicht unterstÅtzt"

/***************************/
/* Startfehler             */
/***************************/

8205 "Objektpointer fÅr das Starten einer System/User-Task ist ungÅltig"
8206 "Zuwenig konfigurierter Speicher (Stack, temporÑr) beim Starten einer Task"

/**************************************/
/* Kommunikationsfehler bei Devices   */
/**************************************/

8250 "öbertragung aktiv bei Read Timeout"
8251 "Device nicht offen"
8252 "ungÅltiger Devicebeschreibungsstring"
8253 "ungÅltiger Modebeschreibungsstring"
8254 "maximale Anzahl gleichzeitig geîffneter Devices Åberschritten"
8255 "SPSSW Version zu klein"

/***************************/
/*  RIO-Exceptions         */
/***************************/

8300 "RIO-Exception: Kein Fehler eingetragen"
8301 "RIO-Exception: Master-Fehler"
8302 "RIO-Exception: Slave-Fehler"

8400 "RIO-Exception, RIO-Exceptiontask fÅr Auswertung notwendig"
8401 "RIO-Exception: Falsche Blocknummer"
8402 "RIO-Exception: Unbekanntes Kommando"
8403 "RIO-Exception: Input bereits konfiguriert"
8404 "RIO-Exception: Schaufeltabelle zu lang"
8405 "RIO-Exception: Inputkonfiguration mit Outputauftrag"
8406 "RIO-Exception: Konfiguration mit Status-Zugriff"
8407 "RIO-Exception: Moduladresse zu hoch"
8408 "RIO-Exception: Interne Adresse zu hoch"
8409 "RIO-Exception: Block bereits konfiguriert"
8412 "RIO-Exception: Offset im Frame inkonsistent zu Bit-Schaufeleintrag"
8413 "RIO-Exception: Output bereits konfiguriert"
8414 "RIO-Exception: Fehler bei Input-Konfiguration am Slave"
8415 "RIO-Exception: Fehlerhafter Offset beim LDFW Kommando"
8416 "RIO-Exception: Block am Slave nicht konfiguriert"
8417 "RIO-Exception: 2003-Analogzugriff mit ungerader Byteanzahl"
8418 "RIO-Exception: 2003-Digitalzugriff mit LÑnge > 1 oder Offset > 0"
8419 "RIO-Exception: 2003-Digitalzugriff mit falscher Datenrichtung In/Out"

8432 "RIO-Exception: Fehler beim Zugriff auf ein Inputmodul"
8448 "RIO-Exception: Fehler beim Zugriff auf ein Outputmodul"
8451 "RIO-Exception: unzulÑssige Slavenummer konfiguriert"
8452 "RIO-Exception: Schaufel-Offsets passen nicht oder Åberlappen"
8453 "RIO-Exception: Block enthÑlt keine Daten"
8454 "RIO-Exception: Blocknummer fÅr Slave zu gro·"
8455 "RIO-Exception: Block ohne Input- und Outputdaten konfiguriert"
8456 "RIO-Exception: zu viele Auftragslisten konfiguriert"
8457 "RIO-Exception: Copy Puffer öberlauf"
8458 "RIO-Exception: Frame Puffer öberlauf"
8459 "RIO-Exception: Keine Auftragsliste vorhanden"
8464 "RIO-Exception: Anzahl der SchaufeleintrÑge fÅr einen Block zu hoch"

8500 "RIO-Exception: Slave meldet sich wÑhrend Konfigphase nicht"
8501 "RIO-Exception: Slaveadresse ungÅltig (0 oder zu gro·)"
8502 "RIO-Exception: Fehler am Slave"
8503 "RIO-Exception: Slave meldet sich trotz Wiederholung nicht mehr"

8528 "RIO-Exception: Fehler beim IO-Zugriff auf einem Slave"
8551 "RIO-Exception: UngÅltige Steckplatznummer"
8552 "RIO-Exception: Systembusmodul ist kein RIO-Master"
8553 "RIO-Exception: RIO-Master-Modul hat eine zu niedrige Version (<3.0)"
8554 "RIO-Exception: Response des Slave passt nicht zum Request"
8555 "RIO-Exception: Falsches Kommando"
8556 "RIO-Exception: Unbekanntes Kommando bei Antwort auswerten (intern)"
8557 "RIO-Exception: Angegebene Datenlaenge zu klein"
8558 "RIO-Exception: Anzahl der SchreibeintrÑge ist zu gro·"
8559 "RIO-Exception: LÑnge der Schreibdaten ist zu gro·"

8560 "RIO-Exception: Fehler beim Zugriff auf Inputmodul"
8561 "RIO-Exception: Erster Eintrag in der CFG Tabelle war NULL"
8562 "RIO-Exception: Falsche LIFE List LÑnge"
8563 "RIO-Exception: Falsche Masterversion"
8565 "RIO-Exception: UngÅltige Moduladresse"
8567 "RIO-Exception: InputdatenlÑnge  passt nicht zur Master-Konfiguration"
8568 "RIO-Exception: OutputdatenlÑnge  passt nicht zur Master-Konfiguration"
8570 "RIO-Exception: Fehler 1 beim Laden der RIO-ISL-Firmware"
8571 "RIO-Exception: Fehler 2 beim Laden der RIO-ISL-Firmware"
8572 "RIO-Exception: Fehler 3 beim Laden der RIO-ISL-Firmware"
8574 "RIO-Exception: RIO-Master ist nicht als Intelligenter Slave konfiguriert"
8576 "RIO-Exception: Fehler beim Zugriff auf Outputmodul"
8580 "RIO-Exception: IN-FUB: PrioritÑt != 0 wurde angegeben"
8581 "RIO-Exception: IN-FUB: inptr = NULL"
8585 "RIO-Exception: OUT-FUB: PrioritÑt != 0 wurde angegeben"
8586 "RIO-Exception: OUT-FUB: outptr = NULL"
8587 "RIO-Exception: RIO-Slave ist nicht im RUN-Mode"
8591 "RIO-Exception: ISL Input Status: Keine gÅltigen Inputdaten vorhanden"
8592 "RIO-Exception: Falsche OutputdatenlÑnge am Slave"
8596 "RIO-Exception: Falsche PrioritÑt fÅr ISL Output Status"
8597 "RIO-Exception: Falsche  DPR_Adresse"
8598 "RIO-Exception: Falsche  KonfigurationslÑnge"
8599 "RIO-Exception: Falsche Systembusmodulnummer"
8600 "RIO-Exception: Kein gÅltiges Kommando"
8601 "RIO-Exception: UngÅltiger Konfigurationspointer"
8602 "RIO-Exception: UngÅltiger Datenpointer"
8603 "RIO-Exception: RIO-START -> falscher State"
8604 "RIO-Exception: Falsche DatenlÑnge"
8605 "RIO-Exception: Kein gÅltiges IO angegeben"
8606 "RIO-Exception: TAB  Buffer zu klein"
8607 "RIO-Exception: Zu kleiner Kopierbuffer"
8608 "RIO-Exception: Zu hohe Slaveadresse"
8609 "RIO-Exception: LÑnge eines Leereintrags zu gro·"
8610 "RIO-Exception: Zu kleiner Datenbuffer"
8611 "RIO-Exception: RIO lÑuft bereits"
8612 "RIO-Exception: RIO nicht konfiguriert"
8613 "RIO-Exception: Falscher Parameterpointer"
8614 "RIO-Exception: Falsche ParameterlÑnge"
8615 "RIO-Exception: RIO nicht konfiguriert oder nicht gestartet"
8617 "RIO-Exception: Falsche Parameter ID"
8618 "RIO-Exception: Falscher Tabellenzeiger"
8619 "RIO-Exception: Falsche LÑnge"
8620 "RIO-Exception: ungÅltiger Mode"
8621 "RIO-Exception: Falscher Slavestatus"
8622 "RIO-Exception: Falscher Mode"
8623 "RIO-Exception: Falsche Bitadresse"
8627 "RIO-Exception: IO-Moduladresse nicht mîglich"
8628 "RIO-Exception: Antwort kam vom falschen Slave"
8631 "RIO-Exception: Auftrag zur Zeit nicht durchfÅhrbar"
8632 "RIO-Exception: Kein IO-Modul vorhanden (oder Busende)"
8633 "RIO-Exception: IO-Busende erreicht"

8660 "RIO-Warning: Library / Trap doppelt vorhanden"

/***************************/
/*  InterBus-S Fehler      */
/***************************/

/***************************/
/*  CAN Fehlercodes        */
/***************************/

8800 "CAN: Kein Eintrag gefunden"
8801 "CAN: Kein Speicher fÅr Ressourcen"
8802 "CAN: falscher Ident"
8803 "CAN: COB ID wird noch verwendet"
8804 "CAN: CAN-Identifier falsch"
8805 "CAN: Userident falsch"
8806 "CAN: CAN-Identifier wurde schon definiert"
8807 "CAN: CAN-Identifier Definition falsch"
8808 "CAN: COB-Handle falsch"
8809 "CAN: Sendeauftrag fÅr einen fragmentierten Buffer noch aktiv"
8810 "CAN: Transmit Queue voll"
8811 "CAN: CAN-Bus im OFF-Zustand"
8812 "CAN: Keine High Prio Buffer mehr frei"
8813 "CAN: CAN Driver nicht installiert"
8814 "CAN: LÑnge der Daten grî·er als 8 Byte"
8815 "CAN: Baudrate falsch"
8816 "CAN: falsche COB Anzahl"
8817 "CAN: Keine CAN Controller vorhanden"
8818 "CAN: Fehler bei HW-Analyse"
8819 "CAN: Fehler bei Interruptbehandlung"
8820 "CAN: Fehler bei Interruptbehandlung"
8821 "CAN: UngÅltiger Usertyp fÅr CMSinit()"
8822 "CAN: UngÅltige CMS-Objekt-Definition"
8823 "CAN: UngÅltige komplexe Datenstruktur"
8824 "CAN: UngÅltige cms_mode in CMSmain()"
8825 "CAN: Keine CAN-Schnittstelle und daher keine CAN-Knotennummer"
8826 "CAN: Funktionstabelleneintrag ist nicht gesetzt"
8827 "CAN: Interne Verwaltung ist im Interrupthandler zerstîrt"
8828 "CAN: ABORT Frame fÅr Domain FUB gesendet"
8829 "CAN: ABORT Frame fÅr Domain FUB empfangen"
8830 "CAN: FBCAN Handle falsch"
8831 "CAN: Extended Mode fuer CANIO nicht moeglich"
8832 "CAN: CMS Definition Fehler bei Multiplexer"
8837 "INA2000 CAN: COB nicht definiert"
8838 "INA2000 CAN: Node Nummer zu gross"
8839 "INA2000 CAN: falsches Handle"
8840 "INA2000 CAN: Kein Rx Buffer frei"
8841 "WARNING: CAN: Stuff Fehler -> CAN-ID Kollision / Baudrate"
8842 "WARNING: CAN: Format Fehler -> Baudrate"
8843 "WARNING: CAN: ACK Fehler - Kein Ack von anderen Knoten"
8844 "WARNING: CAN: Bit1 Sende Fehler (rezessives Bit)"
8845 "WARNING: CAN: Bit0 Sende Fehler (dominantes Bit)"
8846 "WARNING: CAN: CRC Checksum Fehler"

/***************************/
/* CAN-CCI Fehlercodes     */
/***************************/

8850 "CAN-CCI: Objektnummer au·erhalb des Wertebereichs"
8851 "CAN-CCI: Fehler bei der Initialisierung"
8852 "CAN-CCI: BUS_OFF-Problem"
8853 "CAN-CCI: Buffer nicht konfiguriert"
8854 "CAN-CCI: Hardware im Resetzustand"
8855 "CAN-CCI: Fehler beim Update der Daten"
8856 "CAN-CCI: Buffer wird gerade bearbeitet"
8857 "CAN-CCI: Read-Only Objekt"
8858 "CAN-CCI: Falscher Mode (Standard/Extended)"
8859 "CAN-CCI: Falsche Message-LÑnge eingestellt"
8860 "CAN-CCI: Transmitinterrupt nicht erlaubt"
8861 "CAN-CCI: Transmitinterrupt mu· eingestellt werden"
8862 "CAN-CCI: Receiveinterrupt nicht erlaubt"
8863 "CAN-CCI: Receiveinterrupt mu· eingstellt werden"
8864 "CAN-CCI: Falsche CAN-ID eingetragen"
8865 "CAN-CCI: Lesen mit Sendeobjekt"
8866 "CAN-CCI: Schreiben mit Receiveobjekt"
8867 "CAN-CCI: BUS_OFF-Zustand nicht eingenommen"
8868 "CAN-CCI: Init-Zustand nicht eingenommen"
8869 "CAN-CCI: BUS_ON-Zustand nicht eingenommen"
8870 "CAN-CCI: unzulÑssige Interruptnummer"
8871 "CAN-CCI: Fehler steht im Status (Struktur)"
8872 "CAN-CCI: Meldung verloren"
8873 "CAN-CCI: Gelesene Daten inkonsistent trotz max. Wiederholungen"
8874 "CAN-CCI: WiederholungszÑhler abgelaufen"
8875 "CAN-CCI: Lesedaten sind inkonsistent"
8876 "CAN-CCI: Kein Sendebuffer frei"
8877 "CAN-CCI: Keine gÅltigen Daten vorhanden"

/***************************/
/* CANIOMAN Fehlercodes    */
/***************************/

8900 "CANIOMAN: Fehler im Datenmodul CANIOTAB"
8901 "CANIOMAN: Zu wenig User-Speicher vorhanden"
8902 "CANIOMAN: Falsches Handle
8903 "CANIOMAN: Timeout Tabelle voll"
8904 "CANIOMAN: Keine pSOS-Timer mehr frei"
8905 "CANIOMAN: Kein Eintrag gefunden
8906 "CANIOMAN: UngÅltige Knotennummer"
8907 "CANIOMAN: CANIOMAN nicht da"
8910 "CANIOMAN: Alarmmeldung"
8911 "CANIOMAN: Falscher Datentyp (LÑnge) einer PV"
8912 "CANIOMAN: Kein CANIOTAB vorhanden"
8913 "CANIOMAN: Fehler im Datenmodul CANIOTAB-Node"
8914 "CANIOMAN: Fehler im Datenmodul CANIOTAB-IO"
8915 "CANIOMAN: Falscher Datentyp fÅr Kommando PV (Bytearray[8])"
8916 "CANIOMAN: Falscher Datentyp (LÑnge) der Trigger-Command-PV"
8917 "CANIOMAN: PV Leerstring in CANIOTAB"

/****************************/
/* CANIO-Master Fehlercodes */
/****************************/

8949 "CANIO-Master: Kein CANIO konfiguriert"
8950 "CANIO-Master: PP mit konfiguriertem CANIO nicht vorhanden"
8951 "CANIO-Master: Referenz von CANIO auf einem anderen PP am PP nicht mîglich"
8952 "CANIO-Master: Inkonsistente CANIO-DatenlÑnge"
8953 "CANIO-Master: Maximal 32 Knoten auf einem CAN-BUS mîglich"
8954 "CANIO-Master: IRQ/EXC/Debug-Taskklasse werden nicht unterstÅtzt"
8955 "CANIO-Master: Verwendeter CAN-BUS ist nicht konfiguriert"
8956 "CANIO-Master: Verwendeter CAN-Knoten ist nicht konfiguriert"
8957 "CANIO-Master: Nicht unterstÅtzte Baudrate"
8958 "CANIO-Master: Interner Fehler bei CAN_open"
8960 "CANIO-Master: Interner Fehler beim Outputkopieren"
8961 "CANIO-Master: Interner Fehler beim Inputkopieren"
8962 "CANIO-Master: PP mit konfiguriertem CANIO nicht vorhanden"
8963 "CANIO-Master: Referenz von CANIO auf einem anderen PP am PP nicht mîglich"
8964 "CANIO-Master: Verwendeter CAN-BUS ist am PP nicht konfiguriert"
8965 "CANIO-Master: Verwendeter CAN-Knoten ist am PP nicht konfiguriert"
8966 "CANIO-Master: Interner Fehler beim COB-Lîschen"
8967 "CANIO-Master: Interner Fehler beim Lîschen"
8968 "CANIO-Master: Interner Fehler beim Lîschen eines RPS-Task"
8969 "CANIO-Master: Interner Fehler beim Lîschen (Node-ZÑhler)"
8972 "CANIO-Master: Timeout bei der PP-Behandlung"
8973 "CANIO-Master: Verwendete CAN-Schnittstelle bereits von CANIO belegt"
8974 "CANIO-Master: Interner Fehler beim Installieren eines RPS-Task"
8975 "CANIO-Master: Interner Fehler beim Installieren (Anker)"
8976 "CANIO-Master am PP nicht vorhanden"
8977 "CANIO-Master am PP nicht vorhanden (FUB)"
8978 "CANIO-Master: Verwendeter CAN-BUS ist am PP nicht konfiguriert (FUB)"
8979 "CANIO-Master: Knoten nicht aktiv"
8980 "CANIO-Master: Statusbereich wird nicht unterstÅtzt"
8981 "CANIO-Master Exception"
8982 "CANIO-Master: zu alte EXERMO-Version"
8983 "CANIO-Master am PP nicht vorhanden"

/***************************/
/* Diverses, EXCEPTIONS    */
/***************************/

9001 "Kein Platz in CSwrite-Tabelle"
9002 "Fehler bei der Konvertierung ASCII -> BRSTR"
9003 "Im KonfigModul ist das Ende des temp. Speichers falsch gesetzt"
9004 "Die Åbergebene Schaufeltabelle ist leer"
9005 "Der IO-Auftrag wurde noch nicht ausgefÅhrt"
9006 "Falscher SAP in der SAPLI_TAB bei SAP_check_rights"
9008 "Die PrÅfsumme eines FortsetzungsIVZ ist zerstîrt"
9009 "Checksummen-LÑnge ungleich 4 wird nicht unterstÅtzt"
9010 "Funktionspointer nicht initialisiert"
9011 "LÑnge des B&R-String zu gro·"

9100 "EXCEPTION: Buserror"
9101 "EXCEPTION: Adress Error"
9102 "EXCEPTION: Illegal Instruction"
9103 "EXCEPTION: Privilege Violation"
9104 "EXCEPTION: Divide Zero (Division durch Null)"
9105 "EXCEPTION: Spurious Interrupt"
9106 "EXCEPTION: Unimplemented Instruction"
9107 "EXCEPTION: Uninitialisierter Interrupt"
9108 "EXCEPTION: Format Error Stackframe"
9109 "EXCEPTION: PG Assertion failed"
9110 "EXCEPTION: IO Interrupt"
9111 "EXCEPTION: Error 2010 IO"

9112 "HS#1 Zykluszeitfehler"
9113 "HS#2 Zykluszeitfehler"
9114 "HS#3 Zykluszeitfehler"
9115 "HS#4 Zykluszeitfehler"
9116 "HS#1 maximale Zykluszeitverletzung"
9117 "HS#2 maximale Zykluszeitverletzung"
9118 "HS#3 maximale Zykluszeitverletzung"
9119 "HS#4 maximale Zykluszeitverletzung"

9120 "TC#1 Zykluszeitfehler"
9121 "TC#2 Zykluszeitfehler"
9122 "TC#3 Zykluszeitfehler"
9123 "TC#4 Zykluszeitfehler"
9124 "TC#1 maximale Zykluszeitverletzung"
9125 "TC#2 maximale Zykluszeitverletzung"
9126 "TC#3 maximale Zykluszeitverletzung"
9127 "TC#4 maximale Zykluszeitverletzung"
9128 "EXCEPTION: NMI-Handler"
9129 "EXCEPTION: Remote-IO Fehler"
9130 "EXCEPTION: Fehler bei automat. Moduladressierung"

9131 "IRQ-TC maximale Zykluszeitverletzung"
9132 "EXC-TC maximale Zykluszeitverletzung"
9133 "EXCEPTION: Nil-Pointer Verwendung"
9134 "EXCEPTION: Range-Overflow bei Feldern"
9135 "RIO-HSTC maximale Zykluszeitverletzung"
9136 "EXCEPTION: Error 2003 IO (PG/FUB : Modul nicht vorhanden oder falsch)"
9137 "Exceptionbehandlung mit EXC-Tasks mehrfach aktiv"
9138 "EXCEPTION: Error 2003 IO (Fehler bei Digital-Zugriff)"
9139 "EXCEPTION: Error 2003 IO (ANP nicht vorhanden)"
9140 "EXCEPTION: Error 2003 IO (ANP inaktiv)"
9141 "EXCEPTION: Error 2003 IO (ANP-Timeout)"
9142 "EXCEPTION: Error 2003 IO (ANP-Typ geÑndert)"
9143 "EXCEPTION: unbekannter Error 2003 IO"
9144 "ExceptionCallout: falscher Connect-Mode"
9145 "ExceptionCallout: zuviele Connect parallel"
9146 "Warnung: BusError bei Kommunikation"
9147 "Warnung: AdressError bei Kommunikation"

9150 "EXCEPTION: Error 2005 Basis-IO"
9151 "EXCEPTION: Error 2005 IO-Erweiterung 1"
9152 "EXCEPTION: Error 2005 IO-Erweiterung 2"
9153 "EXCEPTION: Error 2005 IO-Erweiterung 3"
9154 "EXCEPTION: Error 2005 IO-Erweiterung 4"
9155 "EXCEPTION: Error 2005 IO-Erweiterung 5"
9156 "EXCEPTION: Error 2005 IO-Erweiterung 6"
9157 "EXCEPTION: Error 2005 IO-Erweiterung 7"
9158 "EXCEPTION: Error 2005 IO-Erweiterung 8"

9199 "Default-EXCEPTION-Handler aufgerufen -> EXERMO nachladen"

9200 "WARNING: System nach Stromausfall stillgestanden"
9201 "WARNING: System nach Stromausfall stillgestanden -> Kaltstart"
9210 "WARNING: Hochlauf durch Watchdog oder manuelles RESET"
9211 "WARNING: Kaltstart nach Watchdog oder manuellem RESET"
9212 "WARNING: Warmstart nach Watchdog oder manuellem RESET"
9213 "WARNING: Error nach Watchdog oder manuellem RESET"
9214 "WARNING: Diagnose nach Watchdog oder manuellem RESET"
9215 "WARNING: Reconfig nach Watchdog oder manuellem RESET"

/* spezielle Fehler der Wegkalibrierung // Weg/Spritzmodul */

9301 "WEG/SPRITZMODUL: zuwenig Daten fÅr die Konfiguration"
9302 "WEG/SPRITZMODUL: zuwenig Speicher fÅr die Konfiguration"
9303 "WEG/SPRITZMODUL: der Kalibrierfaktor ist ungÅltig"
9304 "WEG/SPRITZMODUL: der Abtastfaktor ist ungÅltig"

9430 "MEMCARD-Update: Bei Mode ungleich Update wird RPSSW V2.10 vorausgesetzt"
9433 "MEMCARD-Update: RPSSW-Basissystem nicht vorhanden"
9435 "MEMCARD-Update: sep_ende Modul nicht vorhanden"
9436 "MEMCARD-Update: Fehler beim Lîschen des USERROM"
9437 "MEMCARD-Update: Fehler beim Lîschen des SYSTEMROM"
9438 "MEMCARD-Update: Fehler beim Programmieren des USERROM"
9439 "MEMCARD-Update: Fehler beim Programmieren des SYSTEMROM"
9440 "MEMCARD-Update: FIXRAM nicht konfiguriert"
9441 "MEMCARD-Update: FIXRAM zu klein konfiguriert"
9442 "MEMCARD-Update: USERROM zu klein fÅr Userrom-Module"
9443 "MEMCARD-Update: SYSTEMROM zu klein fÅr Basissystem plus Erweiterungen"
9444 "MEMCARD-Update: falscher CPU-Typ, keine MemCard moeglich"
9445 "MEMCARD-Update durchgefÅhrt"

9500 "PPMAN: allgemeiner fataler Fehler"
9501 "PPMAN: Timeout im CPU-PP Hochlauf-Handshake"
9502 "PPMAN: Anzahl der TK-Basepointer zu klein (PP-Systemmodule)"
9503 "PPMAN: Systemhochlauf im Mode Warmstart nicht mîglich"
9504 "PPMAN: Unterschiedliche RPSSW Versionen im Gesamtsystem"
9510 "PPDPRLIB: falsche Modulnummer bzw. kein PP gesteckt"
9511 "PPDPRLIB: mehrfacher Aufruf von PP_dprid()"
9512 "PPDPRLIB: falsche Laenge"
9513 "PPDPRLIB: PPDPRLIB am PP nicht installiert"
9514 "PPDPRLIB: Fehler beim Freigeben des Speichers"
9515 "PPDPRLIB: Speicherlaenge zu gross"
9516 "PPDPRLIB: falsche ID (NULL) bei PP_pdpr()"

9600 "EXT-FUBs: alter Auftrag noch offen"
9601 "LVW_free: falscher Pointer"
9602 "LVW_alloc/LVW_free: User-Bitmap defekt"
9603 "LVW_alloc/LVW_free: VW-Pointer geÑndert"
9604 "LVW_alloc: 1. Overflow"

9620 "Profiler: Diese CPU wird momentan nicht unterstÅtzt"

9650 "Library-Funktion nicht vorhanden"
9651 "Zuwenig Speicher fuer Library-Verwaltung"

9800 "Trap-Erweiterungs-Library nicht installiert (RIO, ...)"

9900 "BUGFIX: Falsche RPSSW-Version bzw. Konfigurationsproblem (Stack)"

9999 "Funktion ist noch nicht implementiert"

/***************************/
/*      NC-Software        */
/***************************/

10500 "NC-Manager: Aufrufender Task nicht ROOT"
10501 "NC-Manager: Inkompatible NC-Manager im System vorhanden"
10502 "NC Manager: Die HW-spezifische NC-Liste ist ungÅltig (B&R anrufen)"
10503 "NC-Manager: NC-Manager-Modul nicht gefunden"
10509 "NC-Manager: NC-Funktionen kînnen nicht in die AVT eingetragen werden"
10511 "NC-Manager: Library 'io_lib' nicht vorhanden"
10512 "NC-Manager: Library 'spooler' nicht vorhanden"
10513 "NC-Manager: Library 'io_lib' nicht vor NC-Manager gebrannt"
10520 "NC-Manager: Zuwenig User-Memory fÅr die NC-Konfigurationsliste"
10521 "NC-Manager: User-Memory der NC-Konfigurationsliste wird nicht freigegeben"
10522 "NC-Manager: Zuwenig User-Memory fÅr die NC-SW"
10523 "NC-Manager: User-Memory der NC-SW wird nicht freigegeben"
10524 "NC-Manager: Zuwenig DPR-Memory fÅr die NC-SW"
10525 "NC-Manager: DPR-Memory der NC-SW nicht freigegeben"
10530 "NC-Manager: NC-SW-INIT abgebrochen"
10531 "NC-Manager: NC-Modul mit inkompatibler HW-Version (Moduladresse = 'Info')"
10532 "NC-Manager: Fehler bei CPU_xinfo() (Fehlercode = 'Info')"
10533 "NC-Manager: Fehler bei HS1-IR-Level Ñndern (Fehlercode = 'Info')"
10534 "NC-Manager: Fehler bei NC-IRQ installieren (Fehlercode = 'Info')"
10535 "NC-Manager: NC-Modul-ID in Systemtabelle ist falsch (Moduladresse = 'Info')"

10540 "NC-Manager-Typen '*man' UND '*_ms' vorhanden. Dies ist nicht erlaubt !"

10550 "NC-CFG-Modul lesen: NC-Manager-Fehler in 'Info'"
10551 "NC-CFG-Modul lesen: Status fÅr NC-Manager-Fehler in 'Info'"
10552 "NC-CFG-Modul lesen: ID fÅr NC-Manager-Fehler in 'Info'"

10600 "Fehler bei NC-Manager-INIT (INFO in den FehlersÑtzen des NC-Objekts)"
10650 "Allgemeine NC-Konfigurationsliste nicht gefunden"
10651 "HW-spezifische NC-Konfigurationsliste nicht gefunden"
10652 "Kein NC-Objekt vorhanden"

10703 "NC-Objekt nicht gefunden ('bus_typ','modul_adr','object_typ','channel')"
10704 "ncalloc: Taskklassen-Kennung ungÅltig"
10705 "ncalloc: System-Manager-Modul nicht gefunden"
10706 "ncalloc: INSTALL-Fehler fÅr NC-Task fÅr TK-Anfang (genug TK-Stack ?)"
10707 "ncalloc: INSTALL-Fehler fÅr NC-Task fÅr TK-Ende (genug TK-Stack ?)"
10708 "ncalloc: UnzulÑssige Flag-Kombination angegeben"

10720 "UngÅltiger NC-Funktionspointer"
10721 "'nc_object' ist kein gÅltiges NC-Objekt"
10722 "'subject' ist nicht definiert oder fÅr dieses 'nc_object' nicht erlaubt"
10723 "'action' ist nicht definiert oder fÅr dieses 'subject' nicht erlaubt"
10724 "Typ von 'nc_object' ist ungÅltig"
10725 "UngÅltiger Typ bei Datenmoduloperation angegeben"
10726 "Diese NC-Aktion ist wegen eines Fehlers bei ncalloc() gesperrt"

10740 "'nc_object' ist kein NC-Objekt mit Typ 'ncCNCSYS'"
10741 "CNC -> SPS: MoS-Funktion nicht im definierten Bereich"
10742 "CNC -> SPS: MmS-Funktion nicht im definierten Bereich"

10750 "'rec_index' ungÅltig (<0 oder zu gro·)"
10751 "'nc_obj_ax1' ist kein gÅltiges NC-Objekt"
10752 "'nc_obj_ax2' ist kein gÅltiges NC-Objekt"
10753 "'nc_obj_ax1' ist kein NC-Objekt mit Typ ncACHSE oder ncV_ACHSE"
10754 "'nc_obj_ax2' ist kein NC-Objekt mit Typ ncACHSE oder ncV_ACHSE"
10757 "'nc_obj_ax1' und 'nc_obj_ax2' haben unterschiedliche HW-Typen"

10900 "NC-Link-Task nicht kompatibel zu NC-Manager"
10901 "NC-Link-Task: Zuwenig User-Memory fÅr die Test-NC-Objekte"
10902 "NC-Link-Task: User-Memory der Test-NC-Objekte wird nicht freigegeben"
10903 "NC-Link-Task: System-Manager-Modul nicht gefunden"
10904 "NC-Link-Task: INSTALL-Fehler fÅr NC-Task fÅr TK-Anfang (genug TK-Stack ?)"
10905 "NC-Link-Task: INSTALL-Fehler fÅr NC-Task fÅr TK-Ende (genug TK-Stack ?)"
10906 "NC-Link-Task: Fehler bei Senden eines Ereignisses an den NC-Manager"
10910 "NC-Link-Task: NC-Objekt ist nicht im Test-Betrieb"
10911 "NC-Link-Task: Kein freies Test-NC-Objekt vorhanden"
10912 "NC-Link-Task: NC-Objekt ist kein Test-NC-Objekt"

10940 "NC-System-Download: NC-Manager-Fehler in 'Info'"
10941 "NC-System-Download: NC-Modul-Fehler in 'Info'"
